,model,scenario,region,variable,unit,year,value
84,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil,TWa,2015,0.0
85,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil,TWa,2020,0.0
86,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil,TWa,2025,0.0
87,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil,TWa,2030,0.0
88,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil,TWa,2035,0.0
89,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil,TWa,2040,0.0
90,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil|Conventional,TWa,2015,0.0
91,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil|Conventional,TWa,2020,0.0
92,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil|Conventional,TWa,2025,0.0
93,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil|Conventional,TWa,2030,0.0
94,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil|Conventional,TWa,2035,0.0
95,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil|Conventional,TWa,2040,0.0
96,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil|Unconventional,TWa,2015,0.0
97,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil|Unconventional,TWa,2020,0.0
98,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil|Unconventional,TWa,2025,0.0
99,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil|Unconventional,TWa,2030,0.0
100,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil|Unconventional,TWa,2035,0.0
101,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Oil|Unconventional,TWa,2040,0.0
102,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Uranium,TWa,2015,0.0
103,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Uranium,TWa,2020,0.0
104,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Uranium,TWa,2025,0.0
105,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Uranium,TWa,2030,0.0
106,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Uranium,TWa,2035,0.0
107,West Bengal energy model,baseline,India,Resource|Cumulative Extraction|Uranium,TWa,2040,0.0
108,West Bengal energy model,baseline,India,Primary Energy,GWa,2015,67.76152038574219
109,West Bengal energy model,baseline,India,Primary Energy,GWa,2020,59.1497802734375
110,West Bengal energy model,baseline,India,Primary Energy,GWa,2025,64.31292724609375
111,West Bengal energy model,baseline,India,Primary Energy,GWa,2030,76.72635650634766
112,West Bengal energy model,baseline,India,Primary Energy,GWa,2035,91.72798156738281
